Name,Longitude,Latitude,Elevation,Power,GISStemp,alebdo corr power,albedo,Power,Power =f(Latitude) 
Ipales,-77.7,0.8,2820,380,11.5,,,,
Bogota,-74.15,4.72,2560,360,13.5,,,,
Xainza,88.63,30.9,4670,320,1.5,,,,
Lhasa,91.13,29.67,3650,320,9,,,,
